,City,Country_Code,Input_Lat,Input_Lon,Actual_Lat,Actual_Lon,MaxTemp,Humidity,Cloudiness,Wind_Speed,Date_Time,Hemisphere
201,sinnamary,GF,12,-48,5.3833,-52.95,80.01,83,99,5.93,5/1/2021 - 9:17:58,Northern
203,lebu,CL,-37,-75,-37.6167,-73.65,55.81,93,100,13.06,5/1/2021 - 9:16:36,Southern
204,vanavara,RU,61,104,60.34,102.2797,30.43,95,10,3.89,5/1/2021 - 9:19:16,Northern
209,ostrovnoy,RU,79,43,68.0531,39.5131,27.77,68,100,12.57,5/1/2021 - 9:17:49,Northern
210,luderitz,NA,-26,10,-26.6481,15.1594,77.22,36,0,10.4,5/1/2021 - 9:19:17,Southern
213,dzerzhinsk,RU,54,27,56.2389,43.4631,51.8,58,75,11.18,5/1/2021 - 9:19:18,Northern
217,victoria,HK,-1,63,22.2855,114.1577,80.01,77,92,5.91,5/1/2021 - 9:15:52,Northern
218,tsuyama,JP,35,134,35.05,134,55.99,67,37,13,5/1/2021 - 9:19:19,Northern
219,xapuri,BR,-10,-69,-10.6517,-68.5044,78.8,73,40,4.61,5/1/2021 - 9:19:19,Southern
221,pemangkat,ID,2,107,1.1667,108.9667,80.87,81,99,8.43,5/1/2021 - 9:19:19,Northern
223,linhares,BR,-20,-39,-19.3911,-40.0722,78.51,55,100,9.6,5/1/2021 - 9:19:20,Southern
224,talnakh,RU,75,92,69.4865,88.3972,20.7,88,36,3.31,5/1/2021 - 9:19:20,Northern
225,dingle,PH,49,-16,10.9995,122.6711,78.66,80,10,6.91,5/1/2021 - 9:18:25,Northern
233,wanning,CN,17,110,18.8003,110.3967,79.34,87,36,6.76,5/1/2021 - 9:19:21,Northern
235,ramshir,IR,31,49,30.8946,49.4092,96.8,24,0,11.5,5/1/2021 - 9:19:22,Northern
236,slave lake,CA,56,-114,55.2834,-114.769,42.8,65,90,8.05,5/1/2021 - 9:19:22,Northern
238,inirida,CO,2,-68,3.8653,-67.9239,78.64,79,100,1.05,5/1/2021 - 9:18:34,Northern
239,havelock,US,31,-75,34.8791,-76.9013,63,31,1,13.8,5/1/2021 - 9:19:12,Northern
241,te anau,NZ,-44,160,-45.4167,167.7167,39.54,87,14,1.05,5/1/2021 - 9:17:13,Southern
242,caravelas,BR,-21,-33,-17.7125,-39.2481,77.56,68,100,12.26,5/1/2021 - 9:16:54,Southern
244,valparaiso,CL,-31,-80,-33.0393,-71.6273,57.2,72,0,2.3,5/1/2021 - 9:19:23,Southern
248,narsaq,GL,89,-59,60.9167,-46.05,50,20,1,29.93,5/1/2021 - 9:16:31,Northern
254,penzance,GB,50,-6,50.1186,-5.5371,51.8,58,20,13.8,5/1/2021 - 9:19:24,Northern
255,lebyazhye,RU,60,29,55.2689,66.4947,57.92,28,22,11.18,5/1/2021 - 9:19:25,Northern
256,mbale,UG,1,34,1.0821,34.175,76.3,74,75,1.5,5/1/2021 - 9:19:25,Northern
257,nisia floresta,BR,-3,-25,-6.0911,-35.2086,87.8,54,75,20.71,5/1/2021 - 9:19:25,Southern
259,lagoa,PT,49,-34,39.05,-27.9833,59.76,86,100,13.89,5/1/2021 - 9:18:31,Northern
261,suntar,RU,61,117,62.1444,117.6319,35.13,98,100,3.6,5/1/2021 - 9:19:26,Northern
263,bengkulu,ID,-12,95,-3.8004,102.2655,78.82,87,91,3.98,5/1/2021 - 9:16:47,Southern
268,nizhniy ufaley,RU,56,60,55.9153,59.9842,55.6,45,95,13.51,5/1/2021 - 9:19:27,Northern
273,yulara,AU,-30,128,-25.2406,130.9889,62.6,31,96,5.75,5/1/2021 - 9:19:28,Southern
274,cukai,MY,4,106,4.25,103.4167,80.01,94,91,1.48,5/1/2021 - 9:17:17,Northern
278,cowra,AU,-34,149,-33.8333,148.6833,53.01,89,100,1.01,5/1/2021 - 9:19:28,Southern
279,korla,CN,41,87,41.7597,86.1469,74.8,23,80,16.6,5/1/2021 - 9:19:29,Northern
281,longyearbyen,SJ,87,28,78.2186,15.6401,19.4,58,20,10.36,5/1/2021 - 9:19:29,Northern
283,ales,FR,44,4,44.1333,4.0833,52,93,100,1.99,5/1/2021 - 9:19:29,Northern
290,ferrol,ES,46,-10,43.4832,-8.2369,57,10,16,18.99,5/1/2021 - 9:19:30,Northern
291,berlevag,NO,89,34,70.8578,29.0864,34.83,79,100,14.92,5/1/2021 - 9:16:38,Northern
293,east london,ZA,-38,31,-33.0153,27.9116,68,64,0,8.05,5/1/2021 - 9:17:26,Southern
294,namatanai,PG,0,155,-3.6667,152.4333,79.38,79,95,2.98,5/1/2021 - 9:18:7,Southern
296,caticlan,PH,12,122,11.9334,121.9598,82.22,79,5,10.27,5/1/2021 - 9:19:31,Northern
299,valladolid,ES,42,-5,41.5833,-4.6667,53.01,71,40,3.44,5/1/2021 - 9:19:32,Northern
300,acajutla,SV,7,-92,13.5928,-89.8275,71.01,100,20,2.62,5/1/2021 - 9:16:57,Northern
301,yumen,CN,42,97,40.2833,97.2,74.07,7,100,16.37,5/1/2021 - 9:19:32,Northern
304,fortuna,US,33,-141,40.5982,-124.1573,53.01,100,90,3,5/1/2021 - 9:16:32,Northern
309,manokwari,ID,-3,133,-0.8667,134.0833,79.83,81,100,6.78,5/1/2021 - 9:18:12,Southern
310,tansen,NP,28,83,27.8673,83.5467,62.13,71,91,8.03,5/1/2021 - 9:17:13,Northern
312,seymchan,RU,63,154,62.8833,152.4333,28.56,97,100,0.2,5/1/2021 - 9:19:34,Northern
313,nemuro,JP,33,154,43.3236,145.575,37.98,86,32,3.11,5/1/2021 - 9:19:34,Northern
318,noumea,NC,-25,165,-22.2763,166.4572,77,88,40,3.44,5/1/2021 - 9:18:19,Southern
319,marawi,PH,19,31,7.9986,124.2928,79,86,100,5.99,5/1/2021 - 9:19:35,Northern
320,vao,NC,-27,173,-22.6667,167.4833,74.16,76,69,21.61,5/1/2021 - 9:18:13,Southern
322,alta floresta,BR,-9,-58,-9.8756,-56.0861,87.8,70,20,3.44,5/1/2021 - 9:19:35,Southern
327,gat,IL,27,9,31.61,34.7642,81,29,18,1.01,5/1/2021 - 9:18:22,Northern
330,tessalit,ML,23,4,20.1986,1.0114,101.19,14,4,14.81,5/1/2021 - 9:19:37,Northern
332,micheweni,TZ,-5,43,-4.9667,39.8333,83.12,73,97,9.1,5/1/2021 - 9:19:37,Southern
335,cayenne,GF,7,-50,4.9333,-52.3333,86,70,75,6.91,5/1/2021 - 9:19:38,Northern
